មុជទឹក,"[muc tɨk] [[មុជ]] [[ទឹក]] <br>1). to dive in the water;<br> to take a shower or bath "
អមរិន្ទ,"[ʔaʔmaʔrin] <br>1). n ruler of the gods (epithet of Indra) See: អមរេន្ទ្រ "
ទោះ(ណា)ជា ... ក៏,"<br>1). even though ...
គ្រូល្ខោន,"[kruu lkʰaon] [[គ្រូ]] [[ល្ខោន]] <br>1). ballet teacher "
សុចរិតយុត្តិធម៌,"[soʔcaʔrɨt yutteʔ- tʰoa] [[សុចរិត]] [[យុត្តិធម៌]] <br>1). honesty and justice
វិធីសាស្ត្រ,"[viʔtʰii saah] [[វិធី]] [[សាស្ត្រ]] <br>1). methodology
ញាតិវង្ស,"[ɲiet vɔǝŋ~vaŋsaʔ] [[ញាតិ]] [[វង្ស]] <br>1). family
រោគរាតត្បាត,"[rook riet tbaat] [[រោគ]] [[រាតត្បាត]] <br>1). epidemic "
កម្មយោនី,"[kam~kammeaʔ or kammaʔ yoonii] [[កម្ម]] [[យោនី]] <br>1). having karma as cause "
ចិត្ត,"[cət
ស្ថានីយប្រេងឥន្ឋនៈ,"[stʰaanii preɛŋ ------ ] [[ស្ថានីយ]] [[ប្រេងឥន្ធនៈ]] <br>1). gas station "
គ្រុឌា,"[krutdie] <br>1). See: គ្រុឌ "
ហាយប៊ី,"[haay bii] <br>1). n dried shrimp Chinese "
កិច្ចប្រជុំ,"[kəc prɑcum] [[កិច្ច]] [[ប្រជុំ]] <br>1). meeting
គិតខុស,"[kit~kɨt kʰoh] [[គិត]] [[ខុស]] <br>1). to miscalculate "
ឈូក,"[cʰuuk] <br>1). n lotus (Nelumbo nucifera) <br>2). n shower head "
ប្រវិនប្រវាន់,"[prɑvən - prɑvan] <br>1a). adj to be limping
ឋានន្តរ,"[tʰaanɑndɑɑ
មិត្រ,"<br>1). See: មិត្ត "
តង្កៀប,"[dɑŋkiep
ទឹកចិត្ត,"[tɨk cət] [[ទឹក]] [[ចិត្ត]] <br>1). character;<br> mood;<br> morale
អធ្យាប័ក,"[ʔaʔtyiepak] <br>1). n teacher
ប៉ុស្តិ៍ ខ្សែលួស,"<br>1). post office "
ឈូង,"[cʰuuŋ] <br>1). n gulf 
អ្នកជួលឲ្យ,"[neak ------ ] [[អ្នក]] [[ជួលឲ្យ]] <br>1). lessor "
សោយទិវង្គត,"[saoy tiʔvʊəŋkʊət] [[សោយ]] [[ទិវង្គត]] <br>1). to die "
ឈូច,"[cʰuuc] <br>1). i interjection used when poking someone in the ribs "
អាជីវោ,"[ʔaaciivou] <br>1). n livelihood "
កន្តែរ៉ែ,"[kɑntae rae] <br>1). adj to be short
ភឿន,"[pʰɨən] <br>1). n friend
ប្រៀបប្រាយ,"[priəp praay] [[ប្រៀប]] [[ប្រាយ]] <br>1). to be comparable
ធម្មយុត្តិ,"[tʰoammeaʔ~tʰoam yutteʔ-] [[ធម្ម]] [[យុត្តិ]] <br>1). Dhammayuttikanikay
ចិត្រ,"[cət
ជម្ម,"[coam] <br>1a). adj to be thoughtless;<br> villainous. <br>1b). n contemptible / wretched / thoughtless person
ច្រមក់,"[crɑmɑk] <br>1). adj to be tiny
ពិន្ទុសរុប,"[pintuʔsaʔrup] <br>1). n total grade
អាជីវៈ,"[ʔaaciiveaʔ] <br>1). n living
ដល់តិច,"[dɑl təc] [[ដល់]] [[តិច]] <br>1). even a little;<br> at all "
ធ្វើតាម,"[tvəə taam] [[ធ្វើ]] [[តាម]] <br>1). to copy;<br> to respect
លូកលើស្មើក្រោម,"[luuk lǝǝ smaǝ kraom] [[លូក]] [[លើ]] [[ស្មើ]] [[ក្រោម]] <br>1). to be on the same level with someone (to be able to joke with him / her) "
លក់ស្វា,"[lʊək svaa] [[លក់]] [[ស្វា]] <br>1). to sleep very lightly
អក្សរលក្ខណ៍,"[ʔaksɑɑ ------] [[អក្សរ]] [[លក្ខណ៍]] <br>1). credentials
ខ្មាសមាត់,"[kmaah moat] [[ខ្មាស]] [[មាត់]] <br>1). to be too shy to speak
ពាក្យកំព្រា,"[piek kɑmprie] [[ពាក្យ]] [[កំព្រា]] <br>1). word which consists of only a single letter
ត្រចៀក,"[trɑciek] <br>1). n ear;<br> generic term for many kinds of (esp. paired) projections such as hinges (e.g. of a door) or handles (of clay pots) "
ម្ចាក់,"[mcak] <br>1). n little bit
ឈ្មុសទេស,"[cmuh teeh] [[ឈ្មុស]] [[ទេស]] <br>1). kind of civet;<br> kind of perfume extracted from the musk of a civet "
វិហគាធិប,"[viʔhaʔkietʰɨp] <br>1). n Garuda (king of the birds) "
កំបុតដៃ,"[kɑmbot day] [[កំបុត]] [[ដៃ]] <br>1). one-armed;<br> armless "
រឿងអ្វីបានតែ,"[rɨəŋ ʔvǝy baa nɔɔ tae] [[រឿង]] [[អ្វី]] [[បានតែ]] <br>1). the reason why "
មេខលា,"[meikʰaʔlaa] <br>1). n belt
បរោហិត,"<br>1). See: បុរោហិត "
ញ៉ាំបារី,"[ɲam baarəy] [[ញ៉ាំ]] [[បារី]] <br>1). to smoke a cigarette <br>#..). to smoke cigarettes "
ឆ្អឹងស្លាបប្រជៀវ,"[cʔəŋ slaap ------] [[ឆ្អឹង]] [[ស្លាបប្រជៀវ]] <br>1). scapula
ចមក្សត្រ,"[cɑɑm ksat] [[ចម]] [[ក្សត្រ]] <br>1). ruler
ឥន្ទ្រា,"<br>1). See: ឥន្ទ "
អធ្យាប័ន,"[ʔaʔtyieban] <br>1). n instruction
ចមចៅ,"[cɑɑm cav] [[ចម]] [[ចៅ]] <br>1). king See: ព្រះចមចៅ "
កន្សែងបង់ក,"[kɑnsaeŋ bɑŋ kɑɑ] [[កន្សែង]] [[បង់ក]] <br>1). scarf "
ឥន្ទ្រី,"[ʔəntrii] <br>1). n eagle;<br> Indrī (name of a fabulous mythological eagle) "
បរសេះ,"[bɑɑ seh] [[បរ]] [[សេះ]] <br>1). to ride a horse;<br> to drive a horse at a walking pace "
សាធារណរដ្ឋប្រជាមានិត,"[saa tʰie nɑɑ roat~roattʰaʔ prɑcie mienɨt] [[សាធារណរដ្ឋ]] [[ប្រជាមានិត]] <br>1). people's republic "
ខ្នាតគោល,"[knaat kool] [[ខ្នាត]] [[គោល]] <br>1). model
ឈូរ,"<br>1). See: ឈូ "
យល់ស្រប,"[yʊəl srɑɑp] [[យល់]] [[ស្រប]] <br>1). to agree (fully)
សាឡី,"<br>1). See: សាលី "
ត្រាក់ទ័រ,"[traktoa] <br>1). n tractor French See: អាត្រាក់ "
អសប្បុរិសវាចា,"[ʔaʔsappoʔreʔsaʔ viecaa] [[អសប្បុរិស]] [[វាចា]] <br>1). word(s) of bad / dishonest people "
ជញ្ជូនជើង,"[cʊəɲcuun cəəŋ] [[ជញ្ជូន]] [[ជើង]] <br>1). to move back and forth. "
ត្រេកត្រអាល,"[treɛk trɑʔaal] [[ត្រេក]] [[ត្រអាល]] <br>1). to be excited
ឈូស,"[cʰuuh] <br>1). v to plane / shave / whittle / rasp (wood);<br> to scrape;<br> to grate (cheese);<br> to shuffle (along);<br> to shove;<br> Surin to level
រូង,"[ruuŋ] <br>1a). n hole
លីសែង,"[lii saeŋ] [[លី]] [[សែង]] <br>1). to do manual labor "
កល្បាវសាន,"[kɑlpaaveaʔsaan] <br>1). n the final stage of life;<br> the last period of existence "
អ្នកគ្រួ,"[neak kruə] [[អ្នក]] [[គ្រួ]] <br>1). cook "
ឆ្លាំង,"[claŋ] <br>1). n kind of catfish (prob. Macrones sp.) See: ត្រីឆ្លាំង "
គង់លើវ,"[kʊəŋ lǝǝ vɔɔ] [[គង់]] [[លើ]] [[វ]] <br>1). (of a king) to ride on a palanquin See: ជិះ​វ "
ស៊ើបដំណឹង,"[sǝǝp dɑmnəŋ] [[ស៊ើប]] [[ដំណឹង]] <br>1). to (secretly) inquire after information;<br> to collect information (secretly) "
បង្កើតលក្ខណៈងាយស្រួលដល់,"[bɑŋkaət leakkʰaʔnaʔ ŋiey sruǝl dɑl] [[បង្កើត]] [[លក្ខណៈ]] [[ងាយស្រួល]] [[ដល់]] <br>1). to create favorable conditions for "
លុយទឹកជ្រៅស្ទួយបង្វេច,"[luy tɨk crɨv stuǝy bɑŋvəc] [[លុយទឹក]] [[ជ្រៅ]] [[ស្ទួយ]] [[បង្វេច]] <br>1). to wade through deep water with a package held up high "
អនោមសត្ត,"[ʔaʔnaomeaʔ sattaʔ] [[អនោម]] [[សត្ត]] <br>1). excellent creature (e.g. a Buddha) "
ពេញលេញ,"[pɨɲ lǝɲ] [[ពេញ]] [[លេញ]] <br>1). to be full
អំបោះសីមា,"[ʔɑmbɑh sǝymaa] [[អំបោះ]] [[សីមា]] <br>1). thread / string used to delimit a sacred area or placed around a sick person;<br> cord used to carry a sacred marker "
ហាងលក់ថ្នាំ,"[haaŋ lʊək tnam] [[ហាង]] [[លក់]] [[ថ្នាំ]] <br>1). drug store<br>#..). drugstore
ដុតខ្ទេចបំផ្លាញខ្ទេច,"[dot ktɨc bɑmplaaɲ ktɨc] [[ដុត]] [[ខ្ទេច]] [[បំផ្លាញ]] [[ខ្ទេច]] <br>1). scorched earth (policy) "
ចាក់ច្រាស,"[cak craah] [[ចាក់]] [[ច្រាស]] <br>1). to overeat
សីតាលុ,"[səytaaluʔ] <br>1a). adj to be frigid. <br>1b). n cold country;<br> person who cannot stand excessive cold "
អានន្ទ,"[ʔaanʊənteaʔ
ពណ៌ស៊ីកាពិ,"[poa sii kaapiʔ] [[ពណ៌]] [[ស៊ីកាពិ]] <br>1). lavender "
ទទួលភារៈ,"[tɔtuəl pʰiereaʔ] [[ទទួល]] [[ភារៈ]] <br>1). to take charge of
ម្ហីតៗ,"[mhiit - mhiit] <br>1). adj to have a pale / wan / exhausted appearance "
រូត,"[ruut] <br>1). v to slide
បំណុល,"[bɑmnol] <br>1). n debt
សុលក្ខណៈ,"[soʔleakkʰaʔnaʔ] <br>1a). n good temperament. <br>1b). adj to be good / even tempered See: សៅវលក្សណ៍ "
ពិរោធន៍,"<br>1). See: ពិរោធ "
លន្លោចចិត្ត,"[lʊənlooc cət] [[លន្លោច]] [[ចិត្ត]] <br>1). to pity
ប៉ៃឡាំ,"[pay lam] <br>1). adj to be unclear
ញ៉ាំឡើងឆ្អេងពោះ,"[ɲam laəŋ cʔeeŋ pʊəh] [[ញ៉ាំ]] [[ឡើង]] [[ឆ្អេង]] [[ពោះ]] <br>1). to be full
លោហការ,"[loo haa kaa] [[លោ]] [[ហ]] [[ការ]] <br>1). blacksmith
រូប,"[ruup
ជ្រុង,"[cruŋ] <br>1). n angle;<br> corner;<br> edge;<br> something angular <br>2a). n piece
ចលនាយុវជនខ្មែរអ្នកបដិវត្តន៍,"[caʔlaʔnaa~cɑllənaa yuʔveaʔcʊən kmae neak paʔdeʔvoat] [[ចលនា]] [[យុវជន]] [[ខ្មែរ]] [[អ្នក]] [[បដិវត្តន៍]] <br>1). Khmer Revolutionary Youth Movement "
ក្បត់ផែនដី,"[kbɑt pʰaen dəy] [[ក្បត់]] [[ផែនដី]] <br>1). See: ក្បត់ជាតិ "
រួចស្រេច,"[ruəc srac] [[រួច]] [[ស្រេច]] <br>1). already;<br> to be completely finished
រអាក់រអើ,"[rɔʔak - rɔʔaə] <br>1). adj to be nauseated
វដ្ដសង្សារ,"[voatdaʔ sɑŋsaa] [[វដ្ដ]] [[សង្សារ]] <br>1). evolution of the life cycle
អ្នកសង្កេតការណ៍ខាងមុខ,"[neak sɑŋkeɛt kaa kʰaaŋ muk] [[អ្នកសង្កេតការណ៍]] [[ខាងមុខ]] <br>1). forward observer "
ទ្រោប,"[troup] <br>1). v to hold down by lying on top of;<br> to lie on top of;<br> to flop down on
ស្លឹកពោធិ៍,"[slǝk poo] [[ស្លឹក]] [[ពោធិ៍]] <br>1). banyan leaf <br>2). heart-shaped brass plate or clapper attached in the center of a bell (When the wind blows
សាកលវិទ្យាល័យ,"[saakɑl vittyielay] [[សាកល]] [[វិទ្យាល័យ]] <br>1). university "
ពាក្យបរិភាស,"[piek bɑɑreʔpʰieh~paʔreʔpʰieh] [[ពាក្យ]] [[បរិភាស]] <br>1). criticism
នីត្យានុកូលភាពប្រជាធិបតេយ្យ,"[niityaanuʔkool pʰiep prɑcietʰiʔpaʔtay] [[នីត្យានុកូលភាព]] [[ប្រជាធិបតេយ្យ]] <br>1). democratic legality "
រីរា,"[rii - rie] <br>1). See: រេរា "
បោះជំហាន,"[bɑh cumhien] [[បោះ]] [[ជំហាន]] <br>1). to take a step<br>#..). to take steps;<br> to make progress
ម្ដុំ,"[mdom] <br>1). n region
ទ្រោម,"[troum] <br>1a). v to crouch;<br> to kneel (of an elephant);<br> to bow. <br>1b). i command to make an elephant kneel <br>2). v to sink
មគ្គ,"[meak
អាបុច្ឆនកថា,"[--i4-- ] [[អាបុច្ឆនកថា]] <br>1). departing speech "
រូស,"[ruuh] <br>1). v to file
កូបាល្ត,"[koobal] <br>1). n cobalt (the metal) French "
កម្មវិធីបក្ស,"[kam~kammeaʔ or kammaʔ viʔtʰii pak] [[កម្មវិធី]] [[បក្ស]] <br>1). party platform "
នឹកដើម,"[nɨk daəm] [[នឹក]] [[ដើម]] <br>1). to think of
ទ្រោល,"[troul] <br>1). v to illuminate
សាស្ត្រន័យន៍,"[saah ------ ] [[សាស្ត្រ]] [[ន័យន៍]] <br>1). See: សាស្ត្រចក្សុ "
ព័ន្ធមូល,"[poan muul] [[ព័ន្ធ]] [[មូល]] <br>1). two round wooden bars which hold the ends of the warp to either side of the warp beam on a loom [plate 1] "
ថោកខ្លួន,"[tʰaok kluən] [[ថោក]] [[ខ្លួន]] <br>1). to debase oneself "
សហគមនាគមន៍,"[saʔhaʔkumniekum] <br>1). n accompanying
កក្អៀក,"<br>1). See: កក្អាក "
ឧបត្ថម្ភកកម្ម,"[ʔuʔpattʰam kɑɑ kam~kammeaʔ or kammaʔ] [[ឧបត្ថម្ភ]] [[ក]] [[កម្ម]] <br>1). prosperity as the consequence of a previous good deed "
អាកាសធាតុបមាណយុត្ត,"[ʔaakaah tʰiet paʔmaanaʔyut] [[អាកាសធាតុ]] [[បមាណយុត្ត]] <br>1). temperate climate "
ម៉ាក,"[maak] <br>1). n brand
ហ្មក,"<br>1). See: ម៉ក (3) "
ឯកច្ឆត្រ,"[ʔaek ------ ] [[ឯក]] [[ច្ឆត្រ]] <br>1). to be ruled by a single king;<br> to be independent "
លោតអង្រែ,"[loot ʔɑŋrɛɛ] [[លោត]] [[អង្រែ]] <br>1). kind of game or dance in which two people hold two long poles between them and alternately move them together and then apart. During the time they are apart a person must jump in between them and out again. "
អគ្គិសនីតិកិច្ឆា,"[ʔakkiʔ sɑɑ nii teʔkəccʰaa] [[អគ្គិសនី]] [[តិកិច្ឆា]] <br>1). electrotherapy "
កក្អៀច,"[kɑkʔiec] <br>1a). adj to be wet and dirty
ស្រែបោះ,"[srae bɑh] [[ស្រែ]] [[បោះ]] <br>1). See: ស្រែពង្រោះ "
អ៊ីកអ៊ាក់,"<br>1). See: អ៊ីកអ៊ាក "
ទ្រុស្តសីល,"[truh sel~sǝl] [[ទ្រុស្ត]] [[សីល]] <br>1). to be morally wicked
កំញមបារី,"[kɑmɲɑɑm baarəy] [[កំញម]] [[បារី]] <br>1). cigarette ash "
ជ្រុល,"[crul] <br>1a). v to exceed (reasonable limits)
ម៉ាង,"[maaŋ] <br>1). i sound made by striking a thin metal plate <br>2). n metal bell hung around the necks of cattle See: ត្រដោកម៉ាង "
ហ្មង,"[mɑɑŋ] <br>1a). adj to be impure
បបរស,"[bɑbɑɑ~pɑbɑɑ sɑɑ] [[បបរ]] [[ស]] <br>1). kind of rice soup or gruel (usually eaten with dried fish or shrimp) "
ស្ករក្រហម,"[skɑɑ krɑhɑɑm] [[ស្ករ]] [[ក្រហម]] <br>1). brown sugar
ទទឹកសើម,"[tɔɔ tɨk saǝm] [[ទទឹក]] [[សើម]] <br>1). to be slightly wet
អ៊ូងព្រនូង,"[ʔuuŋ ------ ] [[អ៊ូង]] [[ព្រនូង]] <br>1). to be big and ugly / unsightly "
រំលៀកខ្លួន,"[rumliək kluən] [[រំលៀក]] [[ខ្លួន]] <br>1). to move the body
ត្រូល,"<br>1). See: ត្រួយត្រូល "
មែកផ្សាំ(សាច់),"<br>1). scion
ត្រូវ,"[trəv] <br>1). initverb must
ផ្ដិតមេដៃ,"[pdət mee day] [[ផ្ដិត]] [[មេដៃ]] <br>1). to take fingerprints "
បុព្វការី,"[boppeaʔ kaarəy] [[បុព្វ]] [[ការី]] <br>1). one who has given support / assistance to someone;<br> foundation
ប្រហាំង,"[prɑhaŋ] <br>1). n tin See: ប៉ាហាំង "
រិស្ត,"[rih] <br>1). n sin
ប្រសើរឯក,"[prɑsaə ʔaek] [[ប្រសើរ]] [[ឯក]] <br>1). to be exceptionally superior "
ទុយមុយ,"[tuy - muy] <br>1). adj to be slow
ប្រសាទពិការ,"[prɑsaat piʔkaa] [[ប្រសាទ]] [[ពិការ]] <br>1). hypochondria "
បដិសច្ចៈ,"[paʔdeʔsaccaʔ] <br>1). n untruth
នីតិតំណាង,"[niiteʔ dɑmnaaŋ] [[នីតិ]] [[តំណាង]] <br>1). legal representative "
ល្បិចចៅក្រម,"[lbəc cav krɑm] [[ល្បិច]] [[ចៅក្រម]] <br>1). the four qualities which a good judge must possess (the ability to analyze a case carefully;<br> the ability to see the overall case;<br> the ability to know when to stop and when to keep delving into a case;<br> and the strength of a lion) "
សុខុមវាទី,"[soʔkʰom vietii] [[សុខុម]] [[វាទី]] <br>1). one who speaks with subtlety
ហៀរសំបោរ,"[hiǝ ------] [[ហៀរ]] [[សំបោរ]] <br>1). to have a runny nose "
អវត្តមាន,"[ʔaʔvoattaʔmien] <br>1). n absence;<br> disappearance;<br> truancy
សំរេចវាសនា,"[------ viehsnaa] [[សំរេច]] [[វាសនា]] <br>1). to decide the fate (of) "
ជួរក្រហម,"[cuə krɑhɑɑm] [[ជួរ]] [[ក្រហម]] <br>1). communist / red army "
ចរន្ត,"[caʔrɑn] <br>1). n current (of wind
ម៉ាន,"[maan] <br>1). See: អំបាលម៉ាន "
បញ្ញវន្ត,"[paɲɲaʔvoan] <br>1). n intellectual
ហ្មប,"[mɑɑp] <br>1). v to sit with one's legs crossed to one side and the hands on the knees (esp. as a sign of respect) "
ប្រសិនជា,"[prɑsən cie] [[ប្រសិន]] [[ជា]] <br>1). if
ដំណាក់កាល,"[dɑmnak kaal] [[ដំណាក់]] [[កាល]] <br>1). stage
ប៊ុត,"[but] <br>1). n kind of clear yellow semi-precious stone (probably topaz) "
ពងក្ដ,"[pɔɔŋ kdɑɑ] [[ពង]] [[ក្ដ]] <br>1). testicles "
សកសំបក,"[sɑɑk sɑmbɑɑk] [[សក]] [[សំបក]] <br>1). to peel off skin / bark "
រាជបំរើ,"[riec ------] [[រាជ]] [[បំរើ]] <br>1). royal servants
ញែកធាតុ,"[ɲɛɛk tʰiet] [[ញែក]] [[ធាតុ]] <br>1). to analyze
ម៉ាយ,"[maay] <br>1). n widower See: ពោះម៉ាយ <br>2). n widow See: មេម៉ាយ "
មនុស្សអាស្រូវ,"[mɔnuh~meaʔnuh~mɔnɨh ʔaasrəv] [[មនុស្ស]] [[អាស្រូវ]] <br>1). bad person "
សុខុមាលជាតិ,"[soʔkʰoʔmall ciet] [[សុខុមាល]] [[ជាតិ]] <br>1). person who is used to easy living "
រខក់,"[rɔkʰɑk] <br>1). adj to be loose
ភ្ញាក់ស្មារតី,"[pɲeak smaadǝy~smaardǝy] [[ភ្ញាក់]] [[ស្មារតី]] <br>1). to regain consciousness<br>#..). to regain consciousness
ឃ្នាស់,"[knoah] <br>1). n lever
សារផាត់,"[saaraʔpʰat] <br>1). n collection of offerings presented to the monks during the បុណ្យពិសាខបូជា (the offerings consist of bathing garments and various other items such as dishes and money) "
កង្កែបកូប,"[kɑŋkaǝp koop] [[កង្កែប]] [[កូប]] <br>1). kind of large frog whose cry is `koop koop' "
តាមកម្មចុះ,"[taam kam~kammeaʔ or kammaʔ coh] [[តាម]] [[កម្ម]] [[ចុះ]] <br>1). to take a chance "
ស្រាក់ព្រួល,"[srak pruəl] [[ស្រាក់]] [[ព្រួល]] <br>1). splint;<br> to splint
ឩសវ័ត,"[ʔuusaʔvat] <br>1a). adj to be saline / alkaline. <br>1b). n saline / alkaline soil area See: ឩសវន្ត "
ការពិសោធន៍,"[kaa piʔsaot] [[ការ]] [[ពិសោធន៍]] <br>1). experience<br>#..). know-how
មហស្ចារ្យ,"[meaʔhahscaa] <br>1). n spectacle
ណាម,"[naam] <br>1). n water;<br> liquid Thai See: ណាំ "
លើគោក,"[lǝǝ kook] [[លើ]] [[គោក]] <br>1). on dry land
ណាយ,"[naay] <br>1). v to become cool (of feelings)
សួរចោះៗ,"<br>1). to interrogate only on certain points / superficially "
បំភ្លៃចង្វាក់,"[bɑmpley cɑŋvak] [[បំភ្លៃ]] [[ចង្វាក់]] <br>1). to skip / add a beat "
រលេចុះរលេឡើង,"[rɔlee coh rɔlee laəŋ] [[រលេ]] [[ចុះ]] [[រលេ]] [[ឡើង]] <br>1). playfully
មួម៉ៅ,"[muə mav] [[មួ]] [[ម៉ៅ]] <br>1). to be angry
ដេកមមើ,"[deɛk mɔməə] [[ដេក]] [[មមើ]] <br>1). to talk / make noises in one's sleep <br>#..). to talk in one's sleep;<br> to be delirious "
អើ​!​ ទៅ​ចុះ​,"<br>1). O.K. go ahead
ចាក់អន្ទង់,"[cak ʔɑntʊəŋ] [[ចាក់]] [[អន្ទង់]] <br>1). to hunt eels in the mud (using a twin-pronged fork-like instrument) "
ឆែកមើល,"[cʰaek məəl] [[ឆែក]] [[មើល]] <br>1). to check
បំប៉ាន់,"[bɑmpan] <br>1). v to persuade (someone) to change his / her ways of behaving or lines of thought;<br> to transform <br>2). v to divert "
ទន់ភ្លន់,"[ជាមួយ :: tʊən ------ cie muə yɔɔ ] [[ជាមួយ]] [[::]] [[ទន់]] [[ភ្លន់]] [[ជាមួយ]] <br>1). to be supple;<br> (of behavior) to be mild
ទ្រវែង,"[trɔvɛɛŋ] <br>1). adj to be oblong
សហករណ៍ផ្តុំទុនប្រកបការ,"[saʔhaʔ ------ pdom tun prɑkɑɑp kaa] [[សហករណ៍]] [[ផ្ដុំ]] [[ទុន]] [[ប្រកប]] [[ការ]] <br>1). investment cooperative "
សីលវិន័យ,"[sel~sǝl ------ ] [[សីល]] [[វិន័យ]] <br>1). moral discipline "
ហាង,"[haaŋ] <br>1). n store
អ្នកតូច(តាច),"<br>1). one whose rank is low(er)
ប្រដាប់ផ្ទះ,"[prɑdap pteah] [[ប្រដាប់]] [[ផ្ទះ]] <br>1). house furnishings;<br> to furnish a house "
ធម្មបាល,"[tʰoammeaʔ~tʰoam baal] [[ធម្ម]] [[បាល]] <br>1). Dhammapāla (a philosopher of the Asanga school who taught at the University of Nalanda);<br> student / practitioner of the Dharma "
កម្មសមុដ្ឋាន,"[kam~kammeaʔ or kammaʔ saʔmuttʰaan] [[កម្ម]] [[សមុដ្ឋាន]] <br>1). arising from karma
យោគ្យភាព,"[youkyeaʔpʰiep] <br>1). n intelligence
តុណ្ហីភាព,"[tonhəy pʰiep] [[តុណ្ហី]] [[ភាព]] <br>1). silence (the state of falling silent or remaining silent);<br> tacit agreement "
ទីកន្លែង,"[tii kɑnlaeŋ] [[ទី]] [[កន្លែង]] <br>1). place
មតកសាសន៍,"[meaʔtaʔkaʔ sah] [[មតក]] [[សាសន៍]] <br>1). will
ចៅជិត(ចៅចម),"<br>1). female servant of a royal family "
ក្មេងពន្លៃនៅបង្ហើយ,"[kmeɛŋ pʊənley nɨv bɑŋhaəy] [[ក្មេង]] [[ពន្លៃ]] [[នៅ]] [[បង្ហើយ]] <br>1). expression denoting an immature / childish person "
ខ្មឺត,"[kməɨt] <br>1). adv with all one's strength
លានកីឡា,"[lien kəylaa] [[លាន]] [[កីឡា]] <br>1). sports field "
រត់ផាសក្រញាំ,"[rʊət pʰaah krɑɲam] [[រត់]] [[ផាសក្រញាំ]] <br>1). to rush as fast as one can
រំពាត់,"[rumpoat] <br>1a). n rod
ដុំគោល,"[dom kool] [[ដុំ]] [[គោល]] <br>1). globe "
បសុសត្វ,"[paʔsoʔ sat] [[បសុ]] [[សត្វ]] <br>1). domestic(ated) animal "
សេវនភាព,"[------ pʰiep] [[សេវន]] [[ភាព]] <br>1). sociability "
ទងបុប្ផាណ្ឌ,"[tɔɔŋ ------ ] [[ទង]] [[បុប្ផាណ្ឌ]] <br>1). funiculus "
រេចនកម្ម,"[reicaʔnaʔkam] <br>1). n taking a laxative See: វិរេចនកម្ម "
ហាន,"[haan] <br>1a). adj to be bold
មន្ទីរចងការ,"[mʊəntii cɑɑŋ kaa] [[មន្ទីរ]] [[ចង]] [[ការ]] <br>1). credit office "
ទល់ឧច្ចារៈ,"[tʊəl ʔuccaar~ʔuccaaraʔ ------ ] [[ទល់]] [[ឧច្ចារ]] [[ៈ]] <br>1). to be constipated "
ហាប,"[haap] <br>1). n. & clf. unit of weight equal to about 132 lbs. "
ហ្មូ,"[moo] <br>1). n group
ខ្សែលុត,"[ksae lut] [[ខ្សែ]] [[លុត]] <br>1). rope for raising / lowering a sail
សញ្ជែក,"[sɑɲcɛɛk] <br>1). v to gape (of a chasm
ក្រុមប្រឹក្សាភិបាលឬក្រុមអភិបាល,"[krom~krommaʔ- ------ krom~krommaʔ- ʔaʔpʰiʔ baal ] [[ក្រុម]] [[ប្រឹក្សាភិបាលឬ]] [[ក្រុម]] [[អភិបាល]] <br>1). administrative council (council which exercises control over various operations of public and private organizations) "
ស្មៅក្រវាញជ្រូក,"[smav krɑvaaɲ cruuk] [[ស្មៅ]] [[ក្រវាញ]] [[ជ្រូក]] <br>1). kind of medicinal grass (Cyperus rotundus) See: ស្មៅសេះ "
ហាម,"[haam] <br>1). v to forbid
ហាយ,"[haay] <br>1). v to rap / strike (esp. as part of the ritual of training elephants) "
ហារ,"[haa] <br>1a). v to take along
ហាល,"[haal] <br>1a). v to dry (something in the sun or wind)
ពាក្យប្រតិដ្ឋ,"[piek prɑtit] [[ពាក្យ]] [[ប្រតិដ្ឋ]] <br>1). coined / created word "
កូនកំព្រា,"[koon kɑmprie] [[កូន]] [[កំព្រា]] <br>1). orphan <br>2). wedge <br>3). tourniquet "
ហាវ,"[haav] <br>1). v to call See: ហៅ <br>2a). adv immediately
ពួតដៃស្ទុះចូល,"[puət day stuh cool] [[ពួតដៃ]] [[ស្ទុះ]] [[ចូល]] <br>1). to show off (by rubbing one's hands) prior to a fight "
បំរាស់,"<br>1). See: បំរើបំរាស់ "
បរបទ,"[bɑɑ bɑt] [[បរ]] [[បទ]] <br>1). paraphrase "
វិស្សាសៈ,"[vihsaasaʔ] <br>1). n trust
អន្ទះសា,"[ʔɑnteah saa] <br>1). adj to be very anxious
ហាស,"[haah] <br>1). n laughter;<br> joy
ពញាសួគ៌ាលោក,"[pɲie suǝrkie~suǝkie look~lookaʔ] [[ពញា]] [[សួគ៌ា]] [[លោក]] <br>1). former title of governors of Pursat Province "
ប្លិច,"[pləc] <br>1). adv very quickly
ខ្ញុំម្ចាស់,"[kɲom mcah] [[ខ្ញុំ]] [[ម្ចាស់]] <br>1). I / me / my (a woman addressing royalty) "
ខីលោបាយ,"[kʰəyloubaay] <br>1). n petty trickery "
ឃ្នួប,"[knuəp] <br>1). n union
ចេញរួច,"[cəɲ ruəc] [[ចេញ]] [[រួច]] <br>1). to be able to leave / get out "
បទុមវតី,"[paʔtumvoatdəy] <br>1). n Padumvatī (name of the main temple of the Thommayut Buddhist order located in Phnom Penh;<br> usually called វត្តបទុម ) "
