(Mekong) giant catfish 	 ປາບຶກ
broken rice 	 ເຂົ້າປາຍ, ເຂົ້າປຽນ
broken rice grains 	 ເຂົ້າປາຍ, ເຂົ້າປຽນ
brood	(v.) 	 ກຸກລູກ
brood cell 	 ຊ່ອງຮັງເຜີ້ງສໍາລັບຕົວອ່ອນ
brooder house 	 ຄອກລູກໄກ່
brooding	(n) 	 ການກຸກລູກໄກ່ (ໄກ່)
broom	(n) 	 ຟອຍກວາດ, ໄມ້ກວາດ
brown	(adj) 	 ສີນໍ້າຕານ
brown planthopper 	 ເພ້ຍຈັກຈັ່ນສີນໍ້າຕານ
brown planthoppers 	 ເພ້ຍຈັກຈັ່ນ
brown spot 	 ພະຍາດໃບຈຸດສີນໍ້າຕານ
brucellosis 	 ໂລກແທ້ງຕິດຕໍ່
brursed	(ot be) (adj) 	 ຊໍ້າ, ຂຽວ
brush	(n) 	 ຟອຍ, ປັດ
bucket 	 ຖັງ, ຂຸ
bucket	(n) 	 ຖັງ, ຄຸ
bud	(n,v) 	 ຕາ, ແຕກຕາ
bud	(v.) 	 ອອກດອກ, ແຕກດອກ
budding 	 ການທາບກິ່ງດ້ານຂ້າງ
budding	(n) 	 ການແຕກຕາ (ພືດ)
budget	(n) 	 ງົບປະມານ
budwood	(n) 	 ຕາໄມ້
buffalo 	 ຄວາຍ
buffalo	(n) 	 ຄວາຍ
buffer	(v) 	 ກັນຊົນ
buffer zone	(n) 	 ເຂດກັນຊົນ
build	(v) 	 ສ້າງ, ກໍ່ສ້າງ
buld	(n) 	 ຫົວ (ພືດ)
bull	(n) 	 ງົວ
bulldozer	(n) 	 ລົດຕີນຫຼັກ, ລົດຕີນຂີ້ເຂັບ
bullet	(n) 	 ລູກປືນ
bundle 	 ມັດເຂົ້າ, ຫໍ່
bundle	(v) 	 ມັດ, ຫໍ່
bunds	(n) 	 ຄັນນາ, ຄູກັນນໍ້າ
burn	(v) 	 ຈູດ, ເຜົາ
burned rice husk 	 ຂີ້ເຖົ່າແກບ
bury	(v) 	 ຝັງ
bus	(n) 	 ລົດເມ
bush	(n) 	 ຟຸ່ມໄມ້, ກໍໄມ້ນ້ອຍ
bush fallowing	(n) 	 ການພັກດິນໃຫ້ເປັນປ່າເຫຼົ່າ
business	(n) 	 ທຸລະກິດ, ການຄ້າ
buterfly	(n) 	 ແມງກະເບື້ອ
butter fish 	 ປາຈາລະເມັດ 
butterfly 	 ແມງກະເບື້ອ
buttock	(n) 	 ກົ້ນ, ສະໂພກ, ທ້ອງ (ທະເລ)
button	(n) 	 ກະດຸມເສື້ອ, ປຸ່ມ (ສໍາລັບກົດ)
by slash & burn) 	 ຖາງ ແລະ ຈູດປ່າ
cabbage 	 ກະລໍ່າປີ, ຜັກກະລໍ່າ
cable	(n) 	 ສາຍ (ໄຟຟ້າ, ໂທລະສັບ)
cage	(chicken) 	 ຕຸ້ມ, ຕຸ້ມໄກ່, ຕຸ້ມນົກ
calculate	(v) 	 ຄໍານວນ , ຄິດໄລ່
calf, calves	(n) 	 ລູກງົວ
calliper 	 ເຄື່ອງ ຄ່າລິບເປີ
calve	(v) 	 ອອກລູກ (ງົວ)
calyx	(n) 	 ກີບລ້ຽງ (ຂອງດອກໄມ້)
canal	(n) 	 ຄອງ, ຮ່ອງນໍ້າ
cancel	(v) 	 ຍົກເລີກ
candle	(n) 	 ທຽນໄຂ
candling	(n) 	 ການສ່ອງໄຂ່ (ຄັດເລືອກໄຂ່ທີ່ສົມບູນ)
cap	(n) 	 ຝາຕິດຊ່ອງຮັງເຜີ້ງຕົວອ່ອນ
capital	(n, adj) 	 ເມືອງຫຼວງ, ອັກສອນຕົວໃຫຍ່, ເງິນຕາ
capture	(v) 	 ຈັບ
carambola 	 ໝາກເຟືອງ
cardamom 	 ໝາກແໜ່ງ
care	(v) 	 ດູແລ, ຮັກສາ
care and handling 	 ດູແລ ແລະ ລ້ຽງ
carp 	 ປາໄນ
carpenter	(n) 	 ຊ່າງໄມ້
carrot 	 ຫົວກາຣົດ, ກາຣົດ
carrot	(n) 	 ຫົວກະຣົດ
carry	(v) 	 ແບກ, ຫາບ, ຖື, ຫາມ, ຫີ້ວ
carry back and forth 	 ແບກກັບໄປກັບມາ
cart	(n) 	 ກວຽນ
caseworm 	 ບົ້ງຫໍ່ລໍາຕົວ
cash crop	(n) 	 ພືດເສດຖະກິດ
cashew 	 ຕົ້ນໝາກມ່ວງຫິມະພານ
cashew	(n) 	 ຕົ້ນໝາກມ່ວງຫິມະພານ
cashew nut 	 ແກ່ນໝາກມ່ວງຫິມະພານ
cashew nut 	 ແກ່ນໝາກມ່ວງຫິມະພານ
cashew nut	(n) 	 ແກ່ນໝາກມ່ວງຫິມະພານ
cassava 	 ມັນຕົ້ນ
cassava	(tapioca) (n) 	 ມັນຕົ້ນ
cassia siamea 	 ຂີ້ເຫຼັກບ້ານ
cast a net 	 ຫວ່ານແຫ
castor bean 	 ຫຸ່ງສາ
castor bean	(n) 	 ຖົ່ວຫຸ່ງສາ
castrate	(v) 	 ຕອນ (ສັດ)
castrate	(v) 	 ຕອນ (ສັດ)
casualty	(n) 	 ການບາດເຈັບ ແລະ ການຕາຍດ້ວຍອຸປະຕິເຫດ
casuarina junghuniana 	 ຕົ້ນສົນປະດິພັດ
casuarinas equisetifolia 	 ຕົ້ນສົນທະເລ
catastrophe	(v) 	 ຄວາມຫາຍຍະນະ
catch	(v) 	 ຈັບ
catch crop	(n) 	 ພືດລໍ້
catchment	(n) 	 ອ່າງໂຕ່ງ
catchment area	(rain) 	 ບໍລິເວນເກັບນໍ້າຝົນທີ່ເປັນແຫຼ່ງທໍາມະຊາດ
catchment pond, reservoir 	 ອ່າງເກັບນໍ້າ
categorize	(v) 	 ຈັດລໍາດັບ, ຈັດກຸ່ມ
cater for	(v) 	 ສະໜອງ, ຫາໃຫ້
caterpillar 	 ດ້ວງແມງກະເບື້ອ
catfish 	 ປາດຸກ
cattle 	 ງົວ
cattle	(n) 	 ງົວ (ມ້າ, ແກະ)
cauliflower 	 ກະລໍ່າດອກ, ຜັກກາດນາ, ດອກກະລໍ່າປີ
cauliflower	(n) 	 ກະລໍ່າດອກ
cause	(n,v) 	 ສາຍເຫດ, ເຮັດໃຫ້, ເປັນເຫດໃຫ້
caution	(n) 	 ຄວາມລະວັງ
cealed 	 ຊ່ອງປິດມີດັກແດ້ຢູ່ໃນ
ceiling	(n) 	 ເພດານ
celery 	 ຜັກແຊລເລຣີ
celery	(n) 	 ຜັກເຊເລີຣີ
cell with the egg in it 	 ຊ່ອງຮັງເຜີ້ງມີໄຂ່ຢູ່ໃນ
cement	(n) 	 ຊີມັງ
center	(n) 	 ສູນ, ສູນກາງ
centigrade	(n) 	 ອົງສາເຊ
centipede 	 ຂີ້ເຂັບ
centipede	(n) 	 ຂີ້ເຂັບ
cereal	(n) 	 ເຂົ້າຊະນິດຕ່າງໆ
ceremony	(n) 	 ພິທີ, ພິທີສະຫຼອງ
certificate	(n) 	 ໃບປະກາດ
certified seed	(n) 	 ເມັດພັັນຢັ້ງຢືນ
cess-pit	(n) 	 ຂຸມຮັບຂອງສົກກະປົກ, ຖັງວິດ
chain	(n) 	 ສາຍໂສ້
change	(v) 	 ປ່ຽນ
channel	(n) 	 ເໝືອງ, ຮ່ອງນໍ້າ
characteristic	(adj, n) 	 ຄຸນລັກສະນະ
characteristics	(n) 	 ລັກສະນະ
charcoal 	 ຖ່ານ
charcoal production 	 ການເຜົາກຖ່ານ
check, control 	 ຕົວຢືນ, ຕົວປຽບທຽບ
cheep 	 ແກະ
chemical	(adj) 	 ເຄມີ
chemical fertilizer 	 ຝຸ່ນເຄມີ
chemical residue 	 ສານເຄມີ
cheque 	 ໃບຈ່າຍເງີນ, ເຊັກເງີນ
chest 	 ເອິກ
chest	(n) 	 ເອິກ, ໜ້າເອິກ
chew	(v) 	 ຄ້ຽວ, ຫຍໍ້າ
chick	(n) 	 ລູກໄກ່
chicken	(n) 	 ໄກ່
chicken comb	(n) 	 ຫອນໄກ່
child labour 	 ແຮງງານເດັກນ້ອຍ
chili 	 ໝາກເຜັດ, ໝາກເຜັດຂີ້ໜູ
chill	(n) 	 ຄວາມໜາວເຢັນ
chinese cabbage 	 ຜັກກາດຂາວ
chinese carp 	 ປາຈີນ
chinese chive 	 ຜັກແປ້ນ
chinese coriander 	 ຜັກຊີ
chinese kale, collard 	 ຜັກກາດນາ
chinese peas, sweet peas 	 ຖົ່ວລັນເຕົາ
chinese radish 	 ຫົວຜັກກາດຂາວ
chinese star gooseberry 	 ໝາກຍົມ
chisel 	 ສີ່ວ
chisel	(n) 	 ສີ່ວ
chive 	 ຜັກຫອມຈີນ
chlorophyll	(n) 	 ຄລໍໂຣຟີລ, ທາດສີຂຽວໃນຜັກ
cholera	(n) 	 ໂລກອະຫິວາ
choose	(v) 	 ເລືອກ
chop down	(n) 	 ຕັດ, ຮອນ
chrysalis	(n) 	 ດ້ວງ, ດັກແດ້, ໜອນ
chrysalis	(pupa) 	 ດັກແດ້
churn	(n) 	 ຖັງໃສ່ນໍ້ານົມສັດ
cicada 	 ຈັກຈັ່ນ
cinnamon 	 ເຄື່ອງເທດ ຊີນາມອລ
claim	(v) 	 ຮຽກຮ້ອງ, ອ້າງສິດທິ
claw	(n) 	 ເລັບສັດ, ກ້າມກຸ້ງ ແລະ ກະປູ
clay 	 ດິນໜຽວ
clay	(n) 	 ດິນດາກ, ດິນໜຽວ
clean	(adj, n) 	 ສະອາດ, ຄວາມສະອາດ
clear	(v), clearing (n) 	 ຕັດ, ການຕັດໄມ້ທັງໝົດ
clear, clearly	(adj, adv) 	 ຊັດເຈນ, ແຈ້ງຊັດ
clerk	(n) 	 ສະໝຽນ
clever	(adj) 	 ສະຫຼາດ
climate	(n) 	 ອາກາດ, ດິນຟ້າອາກາດ
clod	(n) 	 ກ້ອນດິນ
close	(v, adj) 	 ໃກ້ສິດ, ຖີ່, ອັດ, ປິດ
clothes	(n) 	 ເຄື່ອງນຸ່ງ
clothes-line 	 ຮາວ, ຮາວຕາກເຄື່ອງ
clothes-peg 	 ຂໍໜີບເຄື່ອງ
cloud	(n) 	 ເມກ, ເຝື້ອ
cluster	(n) 	 ກຸ່ມກ້ອນ, ໝູ່, ໂຮມກັນເປັນກຸ່ມ
co-operate	(v) 	 ຮ່ວມມື
coarse	(adj) 	 ຫຍາບ, ບໍ່ກ້ຽງ, ບໍ່ລະອຽດ
coat, fur	(n) 	 ຂົນ, ຂົນສັດ
cobra	(n) 	 ງູເຫົ່າ
cobweb	(n) 	 ໄຍແມງມຸນ
coccidiosis 	 ໂລກບິດໃນໄກ່
cockroach 	 ແມງສາບ, ແມງກະສາບ
coconut 	 ໝາກພ້າວ
coconut 	 ໝາກພ້າວ
coconut	(n) 	 ໝາກພ້າວ
coconut cream	(n) 	 ກະທິໝາກພ້າວ
coconut husk 	 ກາບໝາກພ້າວ
coconut milk	(n) 	 ນໍ້າໝາກພ້າວ
cocoon	(n) 	 ໂຕດັກແດ້
cod 	 ໄຂ່ຫໍາ, ອັນທະ
coffee 	 ກາເຟ
coffee	(n) 	 ກາເຟ
cold 	 ໂລກຫວັດ
collaborate	(v) 	 ຮ່ວມມື
collaborative forest management	(n) 	 ການຈັດສັນປ່າໄມ້ແບບມີສ່ວນຮ່ວມ
collar bone 	 ກະດູກບ່າ
collateral security 	 ສີ່ງຄໍ້າປະກັນ
collect	(v) 	 ເກັບ
collective	(adj) 	 ຮ່ວມກັນ, ໂດຍສ່ວນລວມ
collective ownership	(n) 	 ກໍາມະສິດສ່ວນລວມ
columu	(n) 	 ແຖວ
combine	(n,v) 	 ເຄື່ອງເກັບກ່ຽວພືດ, ລວມເຂົ້າກັນ
commission	(n) 	 ຄ່າທໍານຽມ, ຄ່ານາຍໜ້າ
committee 	 ຄະນະກໍາມະການ
committee	(n) 	 ຄະນະກໍາມະການ
committee member 	 ກໍາມະການ
common carp 	 ປາໄນ
common property	(n) 	 ຊັບສິນສ່ວນລວມ
communal property	(n) 	 ຊັບສິນຊຸມຊົນ
compaction 	 ການອັດແໜ້ນ
compensate	(v) 	 ຊົດເຊີຍ
complain	(v) 	 ຈົ່ມ, ຮ້ອງທຸກ
complete	(v) 	 ສຳເລັດ, ສົມບູນ
complex	(adj) 	 ສັບສົນ
compost, compost fertilizer	(n) 	 ຝຸ່ນໝັກ, ຝຸ່ນທຳມະຊາດ
concentrate	(n) 	 ອາຫານປະສົມ, ຮວມເຂົ້າກັນ
concentrated 	 ເຂັ້ມ, ເຂັ້ມຂຸ້ນ
concerning	(n) 	 ກ່ຽວຂ້ອງກັບ, ຫ່ວງໄຍ
concrete	(n, adj) 	 ຄອນກີດ, ເບຕົງ, ມີຕົວຕົນ
condensery	(n) 	 ໂຮງງານຜະລິດນົມຂຸ້ນ
condition	(n) 	 ເງື່ອນໄຂ
conifer	(n) 	 ຕົ້ນໄມ້
coniferous trees 	 ຕົ້ນແປກ 
conservation core area	(n) 	 ເຂດຫວງຫ້າມໃນເຂດອະນຸລັກ
consist of	(v) 	 ປະກອບດ້ວຍ
consistent	(adj) 	 ບໍ່ປ່ຽນແປງ
construction	(n) 	 ການກໍ່ສ້າງ
consult	(v) 	 ປືກສາ
consumption	(n) 	 ການບໍລິໂພກ
contagious	(adj) 	 ຕິດຕໍ່, ໂລກຕິດຕໍ່
continuity	(n) 	 ຄວາມຕໍ່ເນື່ອງ
continuous cropping	(n) 	 ປູກພືດແບບຕໍ່ເນື່ອງ
contour bunds	(as in broad-based 	 ຄູດິນ
contour farming	(n) 	 ໄຮ່ພັກຂັ້ນໃດ
contract	(n) 	 ສັນຍາ
contribute	(v) 	 ປະກອບສ່ວນ, ຊ່ວຍເຫຼືອ, ສະໜັບສະໜູນ
control	(v) 	 ຄວບຄຸມ, ຄຸມ
controlled lighting	(n) 	 ການບັງຄັບແສງ
convenient	(adj) 	 ສະດວກສະບາຍ
convolvulus	(n) 	 ເຄືອ, ໄມ້ປະເພດເຄືອ
cook	(n, v) 	 ຄົນແຕ່ງກິນ, ແຕ່ງກິນ
cooking banana 	 ກ້ວຍນໍ້າ
cool	(adj) 	 ໜາວ
cooperate	(v) 	 ຮ່ວມມື
cooperation	(n) 	 ການຮ່ວມມື
cooperative	(adj) 	 ສະຫະກອນ
cooperative	(n) 	 ສະຫະກອນ
coordinate	(v) 	 ປະສານງານ
copper	(n) 	 ທາດທອງແດງ
coppice 	 ການເກີດແໜງຈາກຕໍໄມ້
cord 	 ເຊືອກ
coriander 	 ຜັກຫອມປ້ອມ
corn 	 ເຂົ້າໂພດ, ສາລີ
corn	(n) 	 ສາລີ
corn harvester	(n) 	 ເຄື່ອງເກັບກ່ຽວສາລີ
corn, maize 	 ເຂົ້າໂພດ, ສາລີ
corrugated iron	(n) 	 ສັງກະສີ
cosmetic products	(n) 	 ເຄື່ອງສຳອາງ
cost	(n) 	 ລາຄາ
cost of living 	 ຄ່າຄອງຊີບ 
cosult	(v.) 	 ປຶກສາ
cotton 	 ຝ້າຍ
cotton 	 ຝ້າຍ
cotton, raw cotton	(n) 	 ຝ້າຍ, ຝ້າຍດິບ
cotyledon	(n) 	 ໃບລ້ຽງ
cough	(v, n) 	 ເປັນໄອ, ໄອ
count	(v, n) 	 ນັບ
counterpart	(n) 	 ຜູ້ປະສານງານ, ຜູ້ຮ່ວມງານ
country	(n) 	 ປະເທດ, ຊົນນະບົດ
cover	(v) 	 ປົກຄຸມ, ກວມເອົາ
cover crop	(n) 	 ພືດຄຸມດິນ
cover crop	(n) 	 ພືດຄຸມດິນ
cow	(n) 	 ງົວ
cow pea 	 ຖົ່ວຟຸ່ມ
cow pea, black pea 	 ຖົ່ວດໍາ
cow shed	(n) 	 ຄອກງົວ
crab	(n) 	 ກະປູ
crank	(n) 	 ຂໍ້ຫວ່ຽງເຄື່ອງຈັກ
crayfish 	 ກຸ້ງໃຫຍ່ນໍ້າຈືດ
credit 	 ເງີນກູ້, ສິນເຊື່ອ
creditor 	 ເຈົ້າໜີ້
creditor	(n) 	 ເຈົ້າໜີ້, ຜູ້ໃຫ້ຄົນອື່ນຢືມເງີນ
creek	(n) 	 ສາຍນໍ້າ, ຫ້ວຍ
crickets 	 ຈີ່ຫຼໍ່ ຫຼື ຈີ່ນາຍ
criminal	(adj, n) 	 ອາດສະຍາກຳ, ຜູ້ກະທຳຜິດກົດໝາຍ
cripple	(adj) 	 ພິການ
crisis	(n) 	 ວິກິດການ
crop	(n) 	 ພືດ
crop for soil	(n) 	 ພືດບໍາລຸງດິນ
crop mixture	(n) 	 ການປູກພືດປະສົມ
crop rotation	(n) 	 ພືດໝູນວຽນ
cropping index	(n) 	 ດັດສະນີການປູກພືດ
cropping pattern	(n) 	 ຮູບແບບການປູກພືດ
cropping system	(n) 	 ລະບົບການປູກພືດ
cross	(v) 	 ຂ້າມ
cross breed	(v) 	 ປະສົມຂ້າມສາຍພັນ
cross breeding	(n) 	 ການປະສົມພັນຂ້າມສາຍພັນ (ສັດ)
cross frtilization	(n) 	 ການປະສົມພັນຂ້າມສາຍພັນ (ພືດ)
crossbreed 	 ພັນລູກປະສົມ
crowbar 	 ເຫຼັກສະແລງ	(ໃຊ້ງັດ)
cubic measurement	(n) 	 ການວັດແທກບໍລິມາດ
cubic meter	(n) 	 ແມັດກ້ອນ
cucumber 	 ໝາກແຕງກວາ
cud 	 ອາຫານທີ່ສັດຄາຍອອກມາຄ້ຽວເອື້ອງ
cultivable	(adj) 	 ດິນເໝາະສົມກັບກະສິກໍາ
cultivation	(n) 	 ການປູກພືດ, ການເພາະປູກ
cultivator	(n) 	 ຜູ້ປູກ, ຊາວກະສິກອນ
cultural adaptation	(n) 	 ການດັດແກ້ປັບປຸງການປູກພືດ
cultural control	(n) 	 ການຄວບຄຸມການປູກພືດ
culture	(n,v) 	 ວັດທະນາທໍາ, ການລ້ຽງ, ການປູກ
cupboard	(n) 	 ຕູ້
cure	(n,v) 	 ການບໍາບັດ, ປິ່ນປົວ
current account 	 ບັນຊີເງີນຝາກລາຍວັນ
curve	(n) 	 ເສັ້ນໂຄ້ງ
custard apple 	 ໝາກຂຽບ
customer	(n) 	 ລູກຄ້າ
customs duty	(n) 	 ພາສີ (ລະຫວ່າງປະເທດ)
cut	(general use) -see also reduce 	 ຕັດ
cut	(rice or corn with a sickle) (v) 	 ກ່ຽວເຂົ້າ
cutting	(n) 	 ກິ່ງຊໍາ, ການປັກຊໍາ (ພືດ)
cuttle fish	(squid) 	 ປາໝຶກ
cuttting	(harvesting) (n) 	 ການກ່ຽວ, ການຕັດ
cutworm 	 ບົ້ງຝຸງຕາກ້າ
cycles	(n) 	 ວົງຈອນ
cyclone	(n) 	 ພາຍຸໄຊໂຄຼນ, ລົມໝູນ
dairy cattle 	 ງົວນົມ
dairy cattle	(n) 	 ງົວນົມ
dam	(n) 	 ເຂື່ອນ
damage	(n) 	 ຜົນເສຍຫາຍ, ການເສຍຫາຍ
damaged 	 ຖືກທໍາລາຍ
damping off	(fungal disease 	 ໂລກເນົ່າຄໍດິນ
danger	(n) 	 ຄວາມອັນຕະລາຍ
dark	(adj) 	 ມືດ, ຄໍ່າ
data	(n) 	 ຂໍ້ມູນ
date palm, date 	 ໝາກຕາວນ້ອຍ	(ຊະນິດເປັນແຊງຄືໝາກ)
datura 	 ໝາກເຂືອບ້າ
dead	(adj), die (v) 	 ຕາຍ
deaden	(v) 	 ເຮັດໃຫ້ມຶນ, ລະງັບ 
deadly	(adv) 	 ຢ່າງຕາຍ, ອັນຕະລາຍ
debt	(n) 	 ໜີ້
debtor 	 ລູກໜີ້
decay	(v,n) 	 ເນົ່າເປື່ອຍ
deciduous plant	(n) # evergreen plant 	 ພັນໄມ້ລົ່ມໃບ # ພັນໄມ້ບໍ່ລົ່ນໃບ
deciduous tree 	 ຕົ້ນໄມ້ປະເພດມີໃບ
deciduous tree	(n) 	 ຕົ້ນໄມ້ປ່ຽນໃບປີລະເທື່ອ
decimate	(v) 	 ຂ້າໃຫ້ໝົດ, ທໍາລາຍຢ່າງຮຽບກ້ຽງ
decision	(n) 	 ການຕັດສິນໃຈ
decision-making	(n) 	 ການຕັດສິນໃຈ
decline	(v) 	 ຊຸດໂຊມ, ເຊື່ອມໂຊມ
decompose	(v) 	 ສະຫຼາຍຕົວ, ເປື່ອຍ
decrease	(v) 	 ຫຼຸດລົງ, ເຮັດໃຫ້ໜ້ອຍລົງ
deep	(adj) 	 ເລິກ
deer	(n) 	 ກວາງ (ສັດປະເພດໜຶ່ງ)
defoliator	(n) 	 ພະຍາດ ຫຼື ແມງໄມ້ທີ່ເຮັດໃຫ້ໃບລົ່ມ
deforestation	(n) 	 ການທໍາລາຍປ່າໄມ້
dehydration	(n) 	 ການຂາດນໍ້າໃນຮ່າງກາຍ
delay	(v,n) 	 ຊັກຊ້າ
delineation	(n) 	 ການຂີດເຂດແດນ (ແຜນທີ່)
deliver	(v) 	 ສົ່ງ, ນໍາສົ່ງ
demand	(n) 	 ຄວາມຕ້ອງການ
demonstrate	(v), demonstration (n) 	 ສາທິດ, ການສາທິດ, ການສະແດງໃຫ້ເຫັນ
demonstration plot 	 ແປງສາທິດ, ແປງທົດລອງສາທິດ
dense forest 	 ປ່າດົງຕຶບ, ປ່າໄມ້ຕຶບໜາ
department	(n) 	 ກົມ
depend on	(n) 	 ຂື້ນຢູ່ກັບ, ແລ້ວແຕ່
deplete	(v) 	 ສູນພັນ, ໝົດ
deposit	(v) 	 ຝາກເງີນ
deposit account 	 ບັນຊີເງີນຝາກປະຈໍາ
depot	(n) 	 ສາງເກັບເຄື່ອງໃຊ້
depth	(n) 	 ຄວາມເລິກ
descrilbe	(v) 	 ພັນລະນາ, ບອກລັກສະນະ
desert	(v,n) 	 ປະຖິ້ນ, ທະເລຊາຍ
desolate	(v) 	 ສ້າງຄວາມເສຍຫາຍ
destroy	(v) 	 ທໍາລາຍ
destructive harvesting	(n) 	 ການເກັບກູ້ແບບເສຍຫາຍ
detergent	(n) 	 ນໍາ້ ຢາທໍາຄວາມສະອາດ (ແຟັບ, ນໍາ້ ຢາຖູອນ
deteriorate	(v) 	 ຊຸດໂຊມ, ເສື່ອມໂຊມ
determine	(v) 	 ກໍານົດ, ຕັດສິນ
devastate	(v) 	 ທໍາລາຍໜັກໜ່ວງ, ລ້າງຜານ
developing country	(n) 	 ປະເທດກໍາລັງພັນທະນາ
dew	(n) 	 ນໍ້າຄ້າງ
dewclaw 	 ນີ້ວກ້ອຍ
dewlap 	 ໜຽງ, ໜຽງຄໍ
diarrhoea	(chicken) (n) 	 ໂລກອະຫິວາໄກ່
diarrhoea	(n) 	 ພະຍາດຖອກທ້ອງ, ຖອກທ້ອງ
dibble 	 ໄມ້ໃຊ້ຈີ້ມເບ້ຍໄມ້ 
dicot	(dicotyledon) (n) 	 ພືດໃບລ້ຽງຄູ່
diesel engine	(n) 	 ເຄື່ອງຈັກນໍາໃຊ້ນໍ້າມັນກະຊວນ
diesel fuel	(n) 	 ນໍ້າມັນກະຊວນ
diet	(n) 	 ອາຫານ, ອາຫານພິເສດ
different	(adj) 	 ຕ່າງກັນ
dig	(v) 	 ຂຸດ
digest	(v) 	 ຍ່ອຍ (ອາຫານ)
digestion	(n) 	 ການຍ່ອຍອາຫານ
digger	(n) 	 ເຄື່ອງຂຸດ
digging tool, spade 	 ສຽມ
dike, dyke	(n) 	 ຄັນນາ, ບ່ອນກັນນໍ້າ, ຄູກັ້ນນໍ້າ
dill 	 ຜັກຊີ
dilute	(adj, n) 	 ຈາງ
dip	(v) 	 ຈຸ່ມ
dip fish net	(n) 	 ສະຫວິງຕັກປາ
dip net	(n) 	 ສະຫວິງ
diploma	(n) 	 ໃບປະກາດສະນິຍະບັດຊັ້ງສູງ
direct seeding	(n) 	 ນາຫວ່ານ ຫຼື ນາສັກ
direction	(n) 	 ທິດທາງ, ການຊີ້ນໍາ
direction of wind 	 ຕາມລົມ, ທາງລົມ
director	(n) 	 ຜູ້ອໍານວຍການ
dirt	(n) 	 ເປື້ອນເປິ, ສົກກະປົກ
disappear	(v) 	 ເຮັດໃຫ້ສູນພັນ
disappointed	(adj) 	 ຜິດຫວັງ
disaster	(n) 	 ໄພພິບັດ
disc	(n) 	 ຈານ, ແຜ່ນມົນ
disc harrow	(n) 	 ຈານຄາດ
disc plough	(n) 	 ຈານໄຖ
disease	(see special section) 	 ພະຍາດ
display	(v) 	 ສະແດງ
disseminate	(v) 	 ແຈກຢາຍ
dissemination	(n) 	 ການແຈກຢາຍ, ເຜີຍແຜ່
dissolve	(v) 	 ລະລາຍ
distance, spacing	(n) 	 ໄລຍະ, ຫວ່າງ
distil	(v) 	 ກັ່ນ, ຕອງ
distribute	(v) 	 ແຈກຈ່າຍ, ແຈກຍາຍ
distribution channel	(n) 	 ສື່ ຫຼື ຊ່ອງທາງກະຈາຍຂໍ້ມູນ
district	(n) 	 ເມືອງ
district Officer 	 ພະນັກງານເມືອງ
ditch	(n) 	 ຄູ, ຄັນຄູ
diversity	(n) 	 ຫຼາຍຮູບແບບ, ຄວາມຫຼາກຫຼາຍ
divide	(v) 	 ແບ່ງ, ແຍກ
divide into	(v) 	 ແບ່ງອອກເປັນ
dividend 	 ເງີນປັນຜົນ 
divsion	(n) 	 ກອງ, ຄະນະ, ການແບ່ງປັນ
doctor	(n) 	 ແພດ, ນາຍໝໍ
domestic animal	(n) 	 ສັດລ້ຽງ
domesticate	(v) 	 ລ້ຽງ, ເພາະພັນ
dominate	(v) 	 ປົກຄອງ
donate	(v) 	 ບໍລິຈາກ
donor	(n) 	 ຜູ້ໃຫ້ທຶນ
doubt	(V,n) 	 ສົງໄສ
down wind 	 ໃຕ້ລົມ
downy mildew 	 ໂລກນໍ້າຄ້າງ
draft animals	(n) 	 ສັດລາກແກ່
dragon fly 	 ແມງບີ້, ແມງປໍ
drain	(v) 	 ການລະບາຍນໍ້າ
drain	(v) 	 ລະບາຍນໍ້າ
drainage	(n) 	 ການລະບາຍນໍ້າ
drainage ditch, gully 	 ຮ່ອງນໍ້າ
drawer	(n) 	 ລີ້ນຊັກ
drill	(machine for sowing seeds) 	 ເຄື່ອງຫວ່ານກ້າ
drill	(seed) (v) 	 ໂຮຍ
drill	(v) 	 ເຈາະ
drill	(v, n) 	 ເຈາະ, ເຄື່ອງເຈາະ, ສະຫວ່ານເຈາະ
drink	(v) 	 ດື່ມ
drinking water	(n) 	 ນໍ້າດື່ມ
driver	(n) 	 ຄົນຂັບລົດ
drll	(a ridge with seeds or growing plants) 	 ຄູ (ຄູກ້າເມັດພືດ ຫຼື ຄູພືດທີ່ເກີດຂື້ນແລ້ວ)
drone	(mall bee) 	 ເຜີ້ງຕົວຜູ້
drone cell 	 ຊ່ອງເຜີ້ງຕົວຜູ້ 
drop	(v) 	 ຕົກເຮ່ຍ, ເຮັດຕົກ, ປົກໄວ້
droppings	(n) 	 ຂີ້ສັດ
drought	(adj) 	 ແຫ້ງແລ້ງ
drought resistant 	 ທົນແລ້ງ
drought-prone	(n) 	 ເຂດແຫ້ງແລ້ງ
drown	(v) 	 ຖ້ວມ, ນໍ້າຖ້ວມ
drug	(n) 	 ຢາເສບຕິດ
dry	(v) 	 ແຫ້ງ
dry cow	(n) 	 ງົວຢູ່ໃນໄລຍະບໍ່ໃຫ້ນົມ
dry dipterocarp forest	(n) 	 ປ່າໂຄກ
dry season rice	(n) 	 ເຂົ້ານາແຊງ
dry up	(v) 	 ເຊັດໃຫ້ແຫ້ງ (ຖ້ວຍຊາມ)
duck 	 ເປັດ
duck	(v) 	 ເປັດ
duck weed 	 ແໜເປັດ
dung 	 ຝຸ່ນສັດ
durian 	 ໝາກຖົ່ວລຽນ
dust	(n) 	 ຂີ້ນຝຸ່ນ
