0,9 liter	@quart
anggota parlemen Inggris	@back bencher
anggota pemadam api	@firefighter
anggota pemadam kebakaran	@fireman
anggota peninjau	@associate member
anggota perampok	@dacoit
anggota regu	@team member
anggota sayap kiri	@left winger	<br>@leftist
anggota suatu kelompok	@member of one group
anggota suku	@tribesman
anggota wanita penyanyi	@chorus girl
anggrek	@orchid
anggukan setuju	@subtle nod
anggun	@sylphlike
[anggun/gembira/ceroboh]	@lightsome
anggur	@vine	<br>@wine
anggur Bordeaux	@claret
anggur keras	@a heady wine
anggur manis	@muscatel
anggur putih	@vermouth
anggur putih lembah moselle	@moselle
anggur rendah gula	@dry wine
anggur ringan	@light wine
angin	@air current
anginapectoris	@kejang jantung
angin badai	@winds
angin barat	@West wind
angin barat;ke barat	@westerly
angin barat laut	@northwester
angin/bicara keras	@blustery
angin-depan	@contrary wind
angin haluan	@head wind
angin kempaan	@compressed air
angin kencang	@high wind
angin-kuras	@blow-through air
angin laut	@set breeze
angin monsun	@monsoon
angin musim	@monsoom
angin palsu	@air lock
angin panas	@wet monsoon
angin pasat	@trade wind
angin puting beliung	@whirling wind
angin puyuh	@whirlwind	<br>@cyclone	<br>@twister
angin ribut	@gale
angin sedang	@moderate wind	<br>@mediocre wind
angin sejuk	@fresh breeze
angin sepoi	@balmy	<br>@zephyr
angin sepoi-sepoi	@light breeze
angin susulan	@tail wind
angin Timur	@East wind
angin topan	@hurricane	<br>@windstorm	<br>@tornado
angin topan meniup	@blow a hurricane
angin yang berlawanan	@foul wind
angin yang bertiup	@winds that blow
angin yang bertiup sedang	@fair wind
angka	@numeral
angka abbe	@abbe number
angka akhir	@final rate
angka anehan	@strangeness number
angka-angka	@numbers
angka-angka statistik demografi	@vital statistics
angka bias	@index of reffaction
angka bilangan tingkat	@ordinal numeral
angka bulat	@round number
angka delapan	@figure of eight
angka deliquensi	@deliquency rate
angka dua digit	@double figures
angka ganjil	@an odd number	<br>@uneven number
angka genap	@in round figures
angka Grashof	@Grashof number
angka-hasil belah-inti langsung	@direct fission yields
angka-hasil fisi	@fission yield
angka-hasil fisi bebas	@independent fission yield
angka-hasil fisi berantai	@chain fission yield
angka-hasil fisi kumulatif	@cumulative fission yield
angka-hasil fisi langsung	@direct fission yield
angka-hasil fisi primer	@primary fission yield
angka-hasil neutron per fisi	@neutron yield per fission
angka-hasil neutron per serapan	@neutron yield per absorption
angka ilian bebas	@free convection number
angka indeks	@index figure	<br>@index number
angka kasar	@crude rate
angka kejahatan	@crime rate
angka kelahiran	@birth rate
angka kematian	@death rate
angka kenyamanan akustik	@acoustic comfort index
angka kenyataan	@datum
angka kerugian	@amount of loss
angka kesuburan	@fertility rate
angka kira-kira; angka pembulatan	@round numbers
angka koordinasi	@coordination number
angka kunjungan	@call rate
angka laba	@margin of profit
angka Lorentz	@Lorentz number
angka median	@median
angka migrasi	@migration rate
angka Nusselt	@Nusselt number
angka pengakhir permainan	@match point
angka penjualan	@sales figure
angka penyusutan	@rate of depreciation
angka perkawinan	@marriage rate
angka perkiraan	@guesstimate
angka Prandtl	@Prandtl number
angka rata-rata angka	@subjection mean
angka rata-rata menurut ilmu pasti	@arithmetical mean
angka Reynolds	@Reynolds number
angkasa	@the expanse of heaven	<br>@the air	<br>@sky blue
angkasa luar	@outer space
angkasawan	@cosmonaut	<br>@astronaut	<br>@spacemen
angka spesifik	@specific rate
angka Stanton	@Stanton number
angka tabungan	@saving rate
angkatan bersenjata	@armed forces
angkatan darat	@ground force	<br>@ground forces
angkatan kerja	@labour force	<br>@labor force
angkatan laut	@navy	<br>@marine	<br>@naval force
Angkatan Laut Indonesia	@Indonesian Navy
angkatan perang	@army	<br>@arm forces
angkatan pertama	@first force
angkatan udara	@air-force	<br>@air arm
angkat besi	@weight lifting
angkat bicara	@spoken out	<br>@spoke out	<br>@speak out	<br>@find voice
angkat kranjang dengan tali	@rope way
angkat tangan	@hands-up
angka umum	@general rate
angker	@ghostlike
angker arus putar	@three phase armature
angker arus tukar	@alternating current armature
angker batang	@bar amature
angker-batang	@bar-armature
angker beralur	@slotted armature
angker berlubang	@ironclad armature	<br>@hole armature
angker-cakera	@disc-armature
angker-celup	@plunging armature
angker dinamo	@dynamo armature
angker dua kutub	@bipolar armature
angker-gelang	@ring-armature
angker gelang-seret	@slip-ring armature
angker jeruji	@spider armature
angker jeruji ganda	@double spider armature
angker-kutub	@pole-armature
angker kutub banyak	@multipolar armature
angker kutub dalam	@inner pole armature
angker kutub-tunggal	@unipolar armature
angker laminasi	@laminated armature
angker maknit	@magnet armature
angker-motor	@motor armature
angker-radial	@radial armature
angker sangkar	@squirrel-cage
angker-sangkar	@short circuit rotor
angker siemens	@siemens armature
angker Siemens	@I-armature
angker teromol	@drum-armature
angker-T ganda	@H-armature	<br>@shuttle-armature
angkong	@ricksha
angkuh	@orotund	<br>@uppity	<br>@conceited	<br>@priggish	<br>@high and mighty	<br>@arrogant	<br>@high handed
angkuh/ congkak	@magniloquent
angkuh/sombong	@egotistic
angkutan	@shipping liner
angkutan air	@waterage
angkutan air pedalaman	@inland waterways
angkutan bahang	@heat transport
angkutan bahan kimia	@chemical carrier
angkutan balik	@back haul
angkutan barang berbahaya	@hazardous goods transport
angkutan barang dari dan ke kepelabuhan	@lighterage
angkutan berkas	@beam transport
angkutan cair	@liquid carrier
angkutan dalam negeri	@inbound carrier
angkutan ekonomi	@economic transport
angkutan janggal	@anomalous transport
angkutan kayu balok	@log carrier
angkutan kbusus industri	@specialized-industrial carrier
angkutan ke luar negeri	@outbound carrier
angkutan kereta api	@railage	<br>@rail transport
angkutan khusus	@specialized carrier
angkutan khusus pertambangan	@specialized mining goods carrier
angkutan laut	@sea transport
angkutan laut antar pulau	@inter-island sea transport
angkutan minyak mentah	@crude-oil transport
angkutan muatan curah	@bulk carrier
angkutan muatan umum	@general-cargo carrier
angkutan niaga	@commercial liner	<br>@liner trade
angkutan papan	@lumber transportation
angkutan penumpang	@passenger carrier
angkutan semen	@cement transport
angkutan udara	@air liner	<br>@air transport	<br>@air carrier
angkutan umum	@common carrier	<br>@publik transport
angkut keluar	@freight-out
angkut masuk	@freight-in
angle	@memancing
angle adjacent	@sudut pelengkap
angle advance	@sudut laju awal
angle at the centre	@sudut pusat
angle bar	@besi siku
angle-box	@kotak-cabang sudut
angle brace	@mesin gerek tangan
angle bracket	@sokong sudut
angle cleat	@sudut profil siku-siku
angle cock	@keran-sudut
angled	@menyudut
angle distribution function	@fungsi tagihan sudut
angled triangle	@segitiga siku-siku
angle flange	@flensa siku-siku
angle indicator	@penunjuk sudut
angle-iron	@besi sudut
angle lag	@sudut laju susulan
angle-lever	@tuas lutut
angle line	@tali kail
angle lubricator	@pot-lumas siku-siku
angle measurement	@pengukuran sudut
angle modulation	@modulasi sudut
angle observing	@pengukuran sudut
angle of aberration	@sudut lantur
angle of action	@sudut aksi
angle of brush displacement	@sudut geser borstel
angle of contact	@sudut-singgung
angle of declination	@sudut deklinasi
angle of deflection	@sudut penyimpangan
angle of depression	@sudut depresi
angle of deviation	@sudut simpang
angle of dip	@sudut inklinasi
angle of elevation	@sudut elevan
angle of emergence	@sudut keluar
angle of entrance	@sudut masuk
angle of free travel	@sudut jalan bebas
angle of friction	@sudut gesekan
angle of gear	@susunan roda-roda tirus
angle of incidence	@sudut masuk
angle of inclination	@sudut landai
angle of inlet	@sudut-masuk
angle of internal reflection	@sudut pantul dakhil
angle of iron	@besi siku
angle of lag	@sudut-susul
angle of lead	@sudut laju dahulu
angle of nip	@sudut jepit
angle of outlet	@sudut jalan keluar
angle of pitch	@lintas pendakian
angle of polarisation	@sudut-polarisasi
angle of principal azimuth	@sudut azimut utama
angle of principal incidence	@sudut masuk utama
angle of prism	@sudut prisma
angle of radiation	@sudut pancaran
angle of refase	@sudut geming
angle of reflection	@sudut pantulan
angle of refraction	@sudut bias
angle of repose	@sudut geming
angle of ring	@gelang besi siku
angle of rotation	@sudut putar
angle of rotation of the crank	@sudut putar engkol
angle of section	@profil siku
angle of shearing resistance	@sudut tahan geser
angle of sight	@sudut pengamatan
angle of sine wave	@sudut gelombang sinus
angle of sine wave phase	@sudut phase gelombang sinus
angle of steel	@baja sudut
angle of swing	@sudut ayun
angle of throat	@sudut geser
angle of torsion	@sudut torsi
angle of twist	@sudut puntir
angle of valve	@sudut keran siku
angle of view	@sudut pandang
angle pipe	@pipa lengkung
angler	@pemancing
angle steel	@baja siku
angle-valve	@keran-tutup siku-siku
angle variable	@peubah sudut
Anglican	@gereja Anglikan
anglicise	@menginggriskan
anglicised	@meng-inggriskan
anglicising	@menginggriskan
anglicism	@gaya Inggris
angling	@memancing
anglinged	@memancing
anglinging	@memancing
anglo	@charcoal burner	<br>@Inggris	<br>@brazier
anglomania	@peniru berat Inggris
anglophile	@pemuja bangsa inggris
anglophobe	@orang yang menaruh benci
anglophobia	@phobi Inggris
anglo saxon	@keturunan Inggris lama
angota Rotary Club	@Rotarian
angrier	@lebih marah
angriest	@paling marah
angrily	@dengan marah
angry	@marah
angsa	@goose	<br>@geese	<br>@swan
angsa jantan	@cob swan	<br>@gander
angstrom	@angstrom
Angstrom unit	@satuan Angstrom
angsuran	@layaway plan	<br>@installment	<br>@instalment
angsuran alokasi	@instalment of allotment
angsuran berkurang	@reducing instalment
anguish	@kesedihan mendalam
angular	@bersudut
angular acceleration	@percepatan sudut
angular aperture	@tingkap sudut
angular correlation	@korelasi sudut
angular cross section	@tampang-lintang sudut
angular distance	@jarak-sudut
angular distribution	@agihan sudut
angular distribution of scattered sound	@agihan sudut bunyi terhambur
angular fish	@las bersiku
angular frequency	@frekuensi sudut
angular frequency velocity	@sudut kecepatan frekuensi
angularity	@kelokan
angular magnification	@pembesaran sudut
angular momentum	@momentum sudut
angular momentum amplitude	@amplitudo pusa sudut
angular momentum central field eigensolutions	@eigen-penyelesaian medan sentral pusa sudut
angular momentum commutation relation	@hubungan balik-urut pusa sudut
angular momentum conservation	@kekekalan pusa sudut
angular momentum conservation law	@hukum kekekalan pusa sudut
angular momentum Dirac	@momentum sudut Dirac
angular momentum eigenfunction	@eigenfungsi momentumsudut
angular momentum eigensolution	@eigenpenyelesaian momentum sudut
angular momentum eigensolutions	@eigen penyelesaian momentum sudut
angular momentum eigenstates	@eigenkeadaan momentumsudut
angular momentum eigenvalue	@eigennilai momentum sudut
angular momentum generalized density	@rapat rampatan momentumsudut
angular momentum matrix	@wakilan matriks momentum sudut
angular momentum matrix elements	@unsur matriks momentumsudut
angular momentum of electromagnetic field	@momentum sudut medan elektromagnetik
angular momentum of Noether's theorem	@teorema pusa sudut Noether
angular momentum of nuclear	@momentum sudut nuklir
angular momentum of radiation	@momentum sudut sinaran
angular momentum operator	@operator pusa-sudut
angular momentum orbital	@edar pusa sudut
angular momentum parity	@paritas momentum sudut
angular momentum quantization	@pengkuantuman momentum sudut
angular momentum quantum number	@bilangan kuantum momentum sudut
angular momentum raising/lowering	@penarik/penurun momentum sudut
angular momentum representation of S matrix	@wakilan matriks S momentum sudut
angular momentum spectra	@spektrum momentum sudut
angular momentum spin	@momentum sudut spin
angular momentum total	@pusa sudut total
angular momentum vector model	@model vektor momentum sudut
angular momentun	@momen sudut
angular momentun operator	@operator pusa sudut
angular motion	@gerakan bersudut
angular particle flux density	@rapat fluks zarah sudut
angular-point	@titik-sudut
angular rotation	@perputaran sudut
angular shape	@bentuk sudut
angular thread	@ulir sekerup segitiga
angular value	@nilai sudut
angular velocity	@kecepatan sudut
anharmonic	@tak selaras
anharmonicity	@ketidak-selarasan
anharmonic term	@suku-suku tak selaras
anharmonic vibrator	@alat getar
anhidrid	@anhydride
anhidrid asam fosfor	@phosphoric anhydride
anhidrid asam sendawa	@nitric acid anhydride
anhidrit	@anhydrite
an hour and a half	@satu setengah jam
anhydride	@anhidrid
anhydrite	@anhidrit
anhydrous	@tak berair
anhydrous acid	@asam bebas air
anhydrous soda	@soda bebas-air
aniaya	@mayhem
anihilasi partikel	@annihilation of particles
anilin	@aniline
aniline	@anilin
animal	@binatang
animal charcoal	@arang tulang
animal farm	@perternakan
animal fat	@gemuk hewan
animal kingdom	@pembedaan binatang
animal life	@kehidupan hewan
animal oil	@minyak hewani
animal quarantine	@karantina hewan
animal spirits	@kegiatan alamiah
animasi	@animation
animate	@menghidupkan
animated	@menghidupkan
animated cartoon	@film kartun
animating	@menghidupkan
animation	@animasi
a nimble wit	@otak cerdas
animism	@penyembah benda mati
animist	@penganut animisme
animistic	@animistis
animistis	@animistic
animosity	@kebencian
an important role to play	@sebuah peran yang penting untuk dipegang
animus	@itikad buruk
an increasing	@suatu peningkatan
an individual	@perorangan
a nine day's wonder	@kejadian menarik tapi lekas dilupakan
an inside job	@pekerjaan jahat
an instance where	@peristiwa di mana
an insult	@suatu penghinaan
anion	@anion
aniosotropic	@aniosotropik
aniosotropic dielectric	@dielektrik takisotrop
aniosotropic medium	@medium tak isotrop
aniosotropik	@aniosotropic
anise	@biji/tanam adas
aniseed	@biji adas manis
anisette	@minuman beraroma adas
anisotrop	@anisotropic
anisotropic	@anisotrop
anisotropic dielectric	@dielektrik takisotrop
anisotropic hydrodynamic	@hidrodinamik anisotropik
anisotropic medium	@zantara takisotrop
anisotropi magnetik	@magnetic anisotropy
anisotropi magnetokristalin	@magnetocrystalline anisotropy
anisotropi opfis	@optical anisotropy
anisotropy	@takisotropan
anisotropy energy	@energi anisotropi
anisotropy factor	@factor anisotropi
anisotropy paradox	@paradoks anisotropi
an itching palm	@korupsi
anithetic faulting	@pematahan antitetik
anjing	@pooch	<br>@dog	<br>@hound
anjing Australia	@dingo
anjing bastar	@mongrel
anjing besar	@Great Dane
anjing buldog	@bulldog
anjing collie	@collie
anjing dach-hund	@dachshund
anjing dalmatian	@dalmatian
anjing eskimo	@huskies
anjing 'foxhound'	@foxhound
anjing geladak tanpa tuan	@pariah dog
anjing greyhound	@greyhound
anjing herder	@German shepherd
anjing hutan	@coyote	<br>@hyena
anjing hutan berbulu tebal	@wolverin
anjing kampung	@mutt
anjing kecil piaraan	@lap dog
anjing mastiff	@mastiff
anjing pemburu burung rawa	@cocker
anjing pemburu kecil	@beagle
anjing penjaga/penjaga	@watchdog
anjing polisi	@police dog
anjing pudel	@poddle
anjing silang bull-terrier	@bull-terrier
anjing spanil	@spaniel
anjlokan tegangan imbas	@inductive voltage drop
anjlok hambatan	@resistance drop
anjlok reaktans	@reactance drop
anjlok tegangan kapasitif	@capacitive voltage drop
anjungan kapal	@forecastle
anjuran kedermawanan	@appeal forays
ankle	@mata kaki
ankle deep	@tenggelam dalam
anklet	@gelang kaki
anmada niagaswasta	@private merchant fleet
annals	@catatan kejadian
annamese	@bangsa anam/vietnam
anneal	@mendinginkan (logam)
annealed	@mendinginkan
annealed iron	@besi yang dipijarkan
annealed iron-wire	@kawat besi pijar
annealed wire	@kawat ikat
annealing	@mendinginkan logam
annealing colour	@warna pemijaran
annealing fumace	@dapur pijar
annealing furnace	@dapur pijar dingin
annealing installation	@instalasi pijar dingin
annealing-oven	@oven pijar
annealing point	@titik sepuh-lindap
annealing temperature	@suhu sepuh-lindap
annealing twin	@kembar sepuh-lindap
annex	@lampiran/paviliun
annexation	@penggabungan
annexe	@rumah turutan
annihilable	@dapat dibatalkan
annihilate	@membasmi
annihilated	@membasmi
annihilating	@membasmi
annihilation	@pembasmian
annihilation of corpuscles	@pemusnahan butir
annihilation of magnetic field	@pemusnahan medan magnet
annihilation of matter	@pemusnahan materi
annihilation of pairs of corpuscles	@pemusnahan pasangan butir
annihilation of particles	@anihilasi partikel
annihilation operator	@operator anihilasi
annihilation radiation	@radiasi pemusnahan
annihilation selection rules	@kaidah pemilihan pemusnahan
anniversary	@hari ultah
anno Domini	@sesudah Masehi
annomaly	@janggalan
annomaly factor	@faktor janggalan
annotate	@menambah catatan
annotated	@menambah catatan
annotating	@menambah catatan
annotation	@catatan tambahan
annotator	@pembuat anotasi
announce	@mengumumkan
announced	@mengumumkan
announcement	@pengumuman
announcer	@penyiar
announcing	@mengumumkan
annoy	@mengganggu
annoyance	@gangguan
annoyed	@mengganggu
annoying	@mengganggu
annoying to the freedom of	@merintangi kemerdekaan
annual	@tahunan
annual fair	@pasar malam
annual leave	@cuti tahunan
annually	@tiap-tiap tahun
annual meeting	@pertemuan tahunan
annual payment	@pembayaran tahunan
annual report	@laporan tahunan
annual return	@hasil tahunan
annual ring of timber	@gelang tahunan
annuals	@buku tahunan
annual salary	@gaji per tahun
annual throughput	@lewatan tahunan
annual turn-over	@turn-over tahunan
annual value	@sewa tahunan
annual wage	@upah tahunan
annuitant	@penerima tunjangan
annuity	@anuitas (tunj.tahunan)
annulable	@dapat dibatalkan
annular	@berbentuk gelang
annular channel	@terusan lingkar
annular jet nozzle	@jet bentuk-cincin
annular piston valve	@katup piston bentuk-cincin
annular rotating field	@medan-putar bentuk lingkaran
annular sleeve valve	@katup lengan bentuk-cincin
annular valve	@pentil gelang
annulment	@penghapusan/pembatalan
annulment requisition	@gugatan untuk pembatalan
annulus	@anulus
annum	@tahun
annunciate	@mengumumkan
annunciated	@mengumumkan
annunciating	@mengumumkan
annunciation	@pengumuman
annunciator	@pelat nomor
a nobody	@orang yang tak masuk hitungan
anoda	@anoda
anoda bantu	@auxiliary anoda
anoda grafit	@graphite anode
anoda guard net	@jala lindung anoda
anodal	@anodal
anodal rays	@sinar-anoda
anoda pejal	@heavy anode
anoda-putar	@rotating-anode
anoda setasioner	@stationary anode
an odd number	@angka ganjil
an odd-on chance	@kesempatan baik
an odd pair	@pasangan yang ganjil
an odd sort of chap	@orang aneh
anode	@kutub positip
anode battery	@baterai anoda
anode bridge	@jembatan anoda
anode-circuit	@rangkai anoda
anode clamp	@sengkang anoda
anode coil	@kumparan anoda
anode compensation	@kompensasi anoda
anode condenser	@kondensator anoda
anode current	@aliran anoda
anode current modulation	@modulasi arus anoda
anode dark space	@ruang gelap anode
anode detection	@deteksi anoda
anode dissipation	@disipasi anoda
anode impedance	@impedansi anode
anode impedances	@impedansi anoda
anode impedence	@rektifikasi anoda
anode loss	@rugi-anoda
anode-modulation	@modulasi anoda
anode-modulatirn	@modulasi anoda
anode pemercepat	@accelerating anode
anode reaction	@reaksi anoda
anode resistance	@hambat-anoda
anode supply	@pencatuan-anoda
anode support	@kutub anode
anode terminal	@terminal anoda
anode voltage	@tegangan anoda
anode welder	@pesawat las anoda
anode welding apparatus	@alat las anoda
anode welding machine	@aparat las anoda
anodic glow	@pijar anode
anodizing	@menjadikan berkutup positip
an officially laid down	@ketentuan resmi
anoinment	@pengurapan
anoint	@mengurapi
anointed	@mengurapi
anointing	@mengurapi
an old buffer	@orang kolot
an old fellow	@orangtua
an old flame	@bekas pacar
an old hand at	@ahli
an old salt	@pelaut yang berpengalaman
an old woman	@orang cerewet
anomali antarruang-dasar	@intrabasement anomaly
anomali eksentrik	@eccentric anomaly
anomali gravitas	@gravity anomaly
anomali magnetik lokal	@local magnetic anomalies
anomali optis	@optical anomaly
anomali udara bebas	@free air anomaly
anomalous	@ganjil
anomalous absorption	@penyerapan janggal
anomalous atomic scattering	@hamburan atom anomal
anomalous atomic scattering method	@metode hamburan atom janggal
anomalous diffusion	@bauran janggal
anomalous dispersion	@tebaran anomal
anomalous gyromagnetic ratio	@nisbah giromagnetik janggal
anomalous magnetic moment	@momen magnet janggal
anomalous resistivity	@keterhambatan janggal
anomalous scattering	@hamburan janggal
anomalous skin effect	@efek kulit janggal
anomalous terms	@suku-suku anomal
anomalous transmission mode	@modus pancaran janggal
anomalous transport	@angkutan janggal
anomalous Zeeman effect	@efek Zeeman anomal
anomalous zone of audibility	@ranah keterdengaran-janggal
anomaly	@keganjilan
anomaly factor	@faktor anomali
anomaly valence	@valensi anomal
anomi	@anomie
anomie	@anomi
anon	@segera
an only child	@anak tunggal
anonymity	@keadaan tanpa nama
anonymous	@tanpa nama
anonymously	@dengan tanpa nama
an open secret	@rahasia umum
anopheles	@nyamuk anopeles
anorak	@jaket hujan
anorganic	@non organic
anorganic chemistry	@kimia anorganic
anorganic compound	@senyawa tak organik
an organic matter	@zat organik
an organized body	@suatu badan yang teratur baik
another	@lain
another area of	@bidang lain
another day	@hari berikut
another important	@penting yang lain
another one	@yang lain
another person	@orang lain
another person's	@orang lain
another question	@masalah lain
another taking on	@cara penanganan yang lain atas
another thing	@sesuatu yang lain
another user	@pemakai lain
another way of	@jalan lain untuk
an otherwise	@suatu . menjadi kebalikannya
an river	@sungai
ansambel/stel pakaian	@ensemble
answer	@menjawab
answerable	@dapat dipertanggungjawabkan
answerable for	@bertanggung jawab untuk
answerably	@dengan bertanggung jawab
answer back	@membantah
answered	@menjawab
answered back	@membantah
answered for	@bertanggung-jawab kepada
answered the bell	@membuka pintu
answered the demand	@mencukupi
answered the door	@pergi melihat siapa di pintu
answered the purpose	@menyesuaikan dengan keperluan
answered to	@memenuhi
answered to a description	@sesuai dengan keterangan
answered to the helm	@menurut arah kemudi
answered to the name of	@mengatasnamai
answered up to	@menjawab dengan cepat dan tepa
answered with plump	@menjawab langsung
answer for	@bertanggung-jawab kepada
answering	@menjawab
answering back	@membantah
answering for	@bertanggung-jawab kepada
answering the bell	@membuka pintu
answering the demand	@mencukupi
answering the door	@pergi melihat siapa di pintu
answering the purpose	@menyesuaikan dengan keperluan
answering to	@memenuhi
answering to a description	@sesuai dengan keterangan
answering to the helm	@menurut arah kemudi
answering to the name of	@mengatasnamai
answering up to	@menjawab dengan cepat dan tepat
answering with plump	@menjawab langsung
answer purpose	@melakukan seperti diminta
answers	@jawab
answers to	@jawaban atas
answer the bell	@membuka pintu
answer the demand	@mencukupi
answer the door	@pergi melihat siapa di pintu
answer the purpose	@menyesuaikan dengan keperluan
answer to	@memenuhi
answer to a description	@sesuai dengan keterangan
answer to the helm	@menurut arah kemudi
answer to the name of	@mengatasnamai
answer up to	@menjawab dengan cepat dan tepat
answer with plump	@menjawab langsung
ant	@semut
ant acid	@zat anti asam
antagonism	@pertentangan
antagonist	@musuh
antagonistic	@berlawanan
antagonistic cooperation	@koperasi antagonis
antagonistic spring	@pegas lawan
antagonize	@menimbulkan rasa benci
antagonized	@menimbulkan rasa benci
antagonizing	@menimbulkan rasa benci
antar	@among
antar[a]	@between
antara	@infilling
antara anda dengan aku	@between you and me
antar agama	@interfaith
antara hal-hal yang lain	@interalia
antara jam	@post meridian
antara kedua	@between the two
antara kita saja	@between ourselves
antara lain	@inter-alia
antaran balik	@return-line
antaran-balik	@return-tube
antaran balik dari lapisan bumi	@ground-return
antaran bawah tanah	@underground conduction	<br>@underground line
antaran elektrik	@electric wiring
antaran elektrolitis	@elektrolytic conductor
antaran kawat atas tanah	@overhead wire
antaran tegangan tinggi	@high-tension feeder
antaran teleskop	@telescopic guide
antara takserbasama	@inhomogenous mediumz
antara tulang-tulang iga	@intercostal
antar bangsa	@interracial
antar benua	@intercontinental	<br>@transcontinental	<br>@inter-continent
antar bintang	@interstellar
antar budaya	@intercultural	<br>@cross-cultural
antar cab. ilmu pengetahuan	@interdisciplineary
antar daerah	@interregional
antar departemen	@interdepartment
antardinginan	@intercooling
antarfase	@interphase
antar-fungsi	@interfunction
antar-golongan	@inter-community	<br>@inter-communal
antar industri	@inter industri
antar jawatan	@interoffice
antar jawatan/agen	@interagency
antar kantor	@inter office
antar komunikasi	@interphone
antar kota	@intercity	<br>@inter-city	<br>@interurban
antar ladang	@inter farm
antar massa	@intertemporal
antar modul	@inter-module
antarmuka dielektrik	@dielectric interface
antarmuka magnetik	@magnetic interface
antar negara	@internation
antar negara bagian	@interstate
antar pemerintah	@intergovernmental	<br>@inter-government	<br>@inter-governmental
antar perusahaan	@intercompany
antar planet	@interplanetary
antar pribadi	@intern personal
antar pulau	@interisland	<br>@inter-island
antar sekolah	@interscholastic
antar sekte/agama	@interdenominational
antar suku	@intertribal
Antartic	@Antartika
Antartika	@Antartic
antar universitas	@intercolegiate
ante	@uang taruhan poker
anteater	@tenggiling
antebellum	@sebelum perang
ante-bellum	@sebelum perang
antecedence	@yang mendahului
antecedent	@yang terdahulu
antecedently	@yang terdahulu
antecedent term	@suku muka
antecessor	@pemilik sebelumnya
antedate	@menanggali
antedated	@menanggali
antedating	@menanggali
antediluvian	@kuno
anted up	@membayar dengan tidak senang
anteed up	@membayar dengan tidak senang
antek	@a cat's paw
antelope	@binatang antelop
ante-meridian	@sebelum jam 12 siang
antemeridiem	@antemeridiem
antena	@antenna	<br>@aerial
antena batang	@bar areial
antena bikonis	@biconical antenna
antena bingkai	@frame aerial
antena boban-atas	@top-loaded antenna
antena broad band	@antena pita lebar
antena buatan	@artificial aerial
antena cacak beban-atas	@top-loaded vertical antenna
antena corona	@horn antenna
antena dwi kerucut	@antenna bicone
antena dwikutub	@dipole antenna
antena dwikutub gelombang paruh	@half-wave dipole antenna
antena dwikutub pendek	@short dipole antenna
antena dwirunjung	@bicone antena
antena dwi runjung	@antenna biconial
antena ekakutub	@monopole antenna
antena ekakutub seperampat gelombang	@quarter-wave monopole antenna   quarter wave (monopole) antenna  antena ekakutub seperempat gelombang
antena ekakutub seperempat gelombang	@quarter wave (monopole) antenna   quarter-wave monopole antenna  antena ekakutub seperampat gelombang
antena gelombang maju	@progressive-wave antenna
antena gelombang merambat	@traveling-wave antenna
antena Hertz	@Hertz antenna
antena isotrop	@isotrope antenna
antena jendela	@loop-aerial	<br>@loop-antenne
antena kembar ratah	@simple double antenna
antena-l	@l.aerial
antena lurus	@linear antenna
antena lurus umpan tengah	@antenna centre fed linear
antena mobil	@car-aerial
antena multiple	@multiple aerial
antena pancar-laras	@end-fire antenna
antena-payung	@umbrella aerial
antena pemancar	@transmitting antenna
antena penerima	@receiving-aerial	<br>@receiving-aerid	<br>@receiving-mast	<br>@receiving antenna	<br>@receiving-antena
antena penyiar	@aerial transmitting
antena pita lebar	@antena broad band	<br>@antenna broad band
antena-radar	@radar aerial
antena rombus	@rhombic antenna
antena-seret	@trailing-aerial	<br>@trauling-aerial
antena seret	@aerial trauling
antena setimbang	@balanced aerial
antena-siar	@sending-aerial
antena simpal	@loop antenna
antena-T	@T-shaped aerial
antena t	@t.areial
antena taji	@spike antenna
antenatal	@ada sebelum lahir
antena televisi	@television antenne
antena terarah	@beam aerial
antena-tiang	@mast-aerial
antena tingkat	@antenna aperture
antena umpan-tengah	@centerfeed antenna
antena umpan tengah	@centerfed antenna
antena-V	@V-antena
antene 1/2 gelombang	@half-wave antenna
antene arah	@directive antenna
antene batang	@rod-antenne
antene bentuk-T	@T-shapped aerial
antene buatan	@phatom antene
antene dalam	@self-contained aerial	<br>@indoor-aerial
antene datar	@plane aerial
antene kipas	@fan-aerial
antene pemancar	@sending-mast
antene piramid	@pyramid aerial
antene prisma	@prism-aerial
antene radio pemancar	@transmitting-wire
antene-Y	@Y-antenna
antene yang terarah	@directional-antenna	<br>@directional aerial
antene yang tidak berarah	@non directed aerial
antene Zeppelin	@Zepp-antenne
antenna	@antena
antenna aperture	@antena tingkat
antenna array	@larik antena
antenna arrays	@larik antena
antenna band width	@lebar pita antena
antenna bicone	@antena dwi kerucut
antenna biconial	@antena dwi runjung
antenna broad band	@antena pita lebar
antenna centre fed linear	@antena lurus umpan tengah
antenna coupling	@hubungan antena
antenna current	@arus antena
antenna directivity	@kearahan antena
antenna effective aperture	@tingkap efektif antena
antenna efficiency	@daya guna antena
antenna gain	@bati antena
antenna mast	@tiang antena
antenna pattern	@pola antena
antenna-pole	@tiang antena
antenna power pattern	@pola daya guna
antenna reception	@pesawat penerima antena
antepenultimate	@ketiga dari yang terakhir
anterior	@di depan
ante up	@membayar dengan tidak senang
anthem	@lagu nasional
anther	@kepala putik
ant hill	@sarang semut
anthology	@kumpulan puisi
anthracite	@antrasit/batubara keras gilap
anthropoid	@anthropoid
